familyid,CT00
000106455310,553901
000106547785,901006
000105864080,296400
000106415639,701000
000106218392,621101
000087967680,702901
000106234567,920109
000105777149,460000
000105882265,188200
000042224966,920041
000106169672,301100
000105993861,265420
000106011039,620522
000106491487,650603
000105845692,430600
000105977094,408601
000106524270,920107
000106417576,403325
000106459063,920107
000106361503,463600
000106278792,265510
000106187043,431300
000105885580,141301
000106165136,703100
000106349675,480600
000034893110,651302
000106634189,275601
000106079568,464000
000106569202,203720
000077717676,530005
000106472272,134401
000106059831,620301
000040194121,400205
000105954725,125200
000105790374,535101
000105841868,534802
000106455190,104402
000106166234,535902
000105848103,535902
000105934755,533801
000106295989,203500
000106545034,482301
000106430188,532900
000106210718,111202
000105972764,533801
000106071141,533106
000106099847,535604
000106474266,535606
000105842322,533106
000105805733,540101
000105883509,533106
000106659599,533801
000106474952,535603
000106529610,532303
000106438474,535902
000106168561,532900
000105840168,535902
000106219364,534802
000105939700,533107
000003349643,535902
000106619041,535902
000106305123,533106
000105916884,533106
000106307641,535902
000105883402,221220
000106415265,535101
000106415121,535502
000106637682,533106
000093157574,533106
000105846282,533106
000105790879,532900
000106070881,533106
000105790390,533000
000106075690,533106
000106211772,533106
000106477667,402401
000106349887,533106
000106302654,535902
000106326539,532606
000105910100,535701
000105954759,533106
000106051105,535902
000106143148,530801
000105913454,302400
000035958155,535902
000106321864,533801
000106077147,532900
000106295780,535902
000105829684,533000
000105792347,535902
000106586224,534900
000105866223,535300
000105971205,534301
000106038124,535300
000106102490,535300
000105880593,535300
000106106562,535300
000105913307,535300
000105826856,535300
000041126190,535101
000106160005,236100
000106291134,535101
000105867889,535101
000106103564,535101
000106218740,535101
000106322920,535101
000106415391,535101
000105790599,535101
000106237942,535101
000008604046,534900
000106411339,534900
000106522595,534900
000105951382,534900
000106587898,535101
000106302219,535101
000106527736,534900
000106437936,535101
000105802227,531902
000106521840,535101
000106410197,534900
000106457100,534900
000093311080,534900
000106479266,534900
000106435963,534900
000106529314,534900
000106326898,535101
000106295028,535101
000106676964,535101
000106652681,535300
000106341740,535300
000106415223,535300
000105847267,535300
000106217388,535300
000106412717,239500
000106308613,532900
000106071662,242300
000105808927,533000
000105883902,532900
000106455441,533000
000105955069,533000
000105845930,535000
000106434077,535101
000106109007,535101
000106074555,532700
000106655210,533000
000106456036,533000
000105882105,533000
000106052261,533203
000056749338,533000
000106589206,533000
000106148342,502401
000105823905,533000
000005491256,533000
000106328303,533000
000105914269,532800
000105794632,239800
000080821313,533000
000106057504,534803
000106213148,533000
000105844654,534900
000106343462,534900
000106502716,535300
000106581538,603101
000106565517,534900
000106522650,534900
000106059860,535300
000106105621,535300
000106148651,535300
000106387684,534700
000057552226,535300
000106655171,534501
000106564812,535300
000106010101,540501
000106507790,535300
000105801682,535300
000106306878,535000
000039200281,535000
000106453541,550300
000106619033,535000
000105973427,535300
000105800513,535102
000106691515,532900
000105880098,533000
000105955768,534900
000105979012,534900
000106651813,143901
000106271546,532700
000105866207,532700
000106078229,532700
000008808275,535400
000106671650,535300
000105843381,535300
000106584882,535300
000106631966,535300
000106543786,535300
000106325606,535300
000105881638,532700
000105848255,532700
000106343530,532700
000093602930,402302
000105862850,532700
000106258337,534803
000105826408,533000
000106631908,533000
000106096001,534900
000106121176,534900
000106436794,552200
000106455904,535101
000106529199,535101
000106308304,535101
000106430895,535101
000105822616,535101
000106232798,535101
000105843360,535101
000106549766,535101
000106276067,535101
000105825216,535101
000106657623,535101
000106303278,535300
000106678306,532900
000106522566,535803
000106099884,535000
000005430321,239800
000106367046,535101
000106210629,535101
000105792915,535101
000079136301,535101
000106340697,535101
000106090628,535101
000106214741,535101
000105800288,535101
000106059807,535101
000106691743,535101
000106436192,535101
000106632608,535101
000106658514,535101
000106276842,535101
000077624137,535101
000106164685,534900
000106259744,534900
000106031800,535300
000105866765,535300
000106251076,535300
000105975330,535300
000106301292,535300
000106658323,534501
000106368945,535300
000106417521,535000
000106276863,535000
000106690284,535000
000106658718,535000
000106144186,535000
000106299310,535300
000105797033,535000
000106273878,535000
000105882061,535101
000078894484,242300
000105884209,532900
000106450200,532700
000106637328,532700
000106652592,532700
000105864823,532900
000106478773,532700
000106160822,533000
000106494503,533000
000106678814,533000
000105794535,533000
000106387676,533000
000106325850,533000
000106672525,533000
000105990449,533000
000105864933,533000
000106343129,533000
000106471739,533000
000106450027,533000
000058541202,240010
000085563001,239800
000105976239,532603
000106252580,532700
000105885611,532700
000106362782,535101
000105910891,532700
000106437716,532700
000106329833,533000
000106218884,533000
000106211798,533000
000105959356,533000
000106471462,533000
000105972900,533000
000106380195,533000
000105799585,533300
000106633531,533000
000106030697,533000
000106217668,533000
000106542109,533000
000106479305,533000
000105779735,535000
000105956816,535000
000106673018,535000
000106615291,535000
000106525409,535000
000106256165,535000
000106362326,535000
000106239313,535000
000106213892,535101
000105936142,535102
000106450446,237710
000106419984,534900
000106651232,534900
000106454843,535300
000106363301,535300
000105953059,535300
000092560719,535300
000106434886,531202
000106651889,535300
000105883546,535300
000105919955,535300
000106237484,183520
000106362245,600902
000106617861,535101
000106415100,535101
000106073119,535101
000106430439,535101
000105913218,535101
000106187051,535101
000105802002,531102
000106325892,535300
000106273019,535300
000106618325,532900
000105993853,534406
000001368837,535000
000105991843,535000
000106611873,535101
000106544452,535101
000106418048,191203
000105950357,241110
000106259901,239500
000106034620,215100
000106305152,239500
000106452370,239500
000106411619,239500
000106125918,533105
000106230649,534900
000106329566,534900
000106544499,534900
000106582152,534900
000105777487,534900
000106096276,534900
000106121118,534900
000105808391,534900
000105882579,534900
000106410401,534900
000105883208,534900
000106306501,534900
000106436249,534900
000058320771,535101
000106433068,535101
000103068337,535101
000106345346,535300
000106361354,535101
000028177266,535101
